#**************************Gen Graphs ********||**************Ke Graphs ***************

#Graph	#A1	#A2	#A3	#A4	#Ideal	#A1	#A2	#A3	#A4	#ideal
1	124	128	143	126	120	592	594	592	591	560
2	217	219	217	216	200	754	756	759	752	720
3	238	240	257	244	207	940	944	941	939	900	
4	269	275	272	267	252	1148	1147	1149	1147	1100	
5	407	415	410	408	390	1268	1270	1270	1267	1219	
6	946	955	952	945	920	1398	1398	1399	1396	1344	
7	1110	1125	1120	1109	1080	1530	1531	1531	1528	1475	
8	1292	1302	1294	1291	1242	3995	3998	3995	3998	3900

	
